,Image,Video,Frame,Class,Presence,TorsoBoundingBoxRatio,HeadGroundDistance,BufferedHeadGroundDistance,HeadVelocity,BufferedHeadVelocity,TorsoHeight,BufferedTorsoHeight,Centroid,BufferedCentroid
0,1608737229654614610,1,1,0,1.0,0.23162955301444066,0.9126835169183268,0.7734490036964417,-0.5151872634887695,0.04916097968816757,0.927305347971812,0.7956529855728149,0.636935293674469,0.4556450545787811
1,1608737229726901959,1,2,0,1.0,0.23688467916035424,0.9211778429464692,0.7261243462562561,-0.06612641364336014,0.04582509025931358,0.9311206831821056,0.7445896863937378,0.6403374671936035,0.4516658186912537
2,1608737229804933584,1,3,0,1.0,0.2276315357841129,0.9205595392849034,0.698273241519928,-7.008067041169852e-05,0.019817646592855453,0.9305631642318196,0.7101235389709473,0.6392152309417725,0.4641897678375244
3,1608737229961352572,1,4,0,1.0,0.20989280482950384,0.9520519562544156,0.7568601369857788,-0.0002766611287370324,-0.1164832040667534,0.966880134349848,0.7784053087234497,0.6685439348220825,0.5371118187904358
4,1608737230182894989,1,5,0,1.0,0.21486908645863592,0.9570374378261041,0.9327020645141602,-6.859193945274456e-06,-0.1330900639295578,0.9719592485275604,0.945565700531006,0.6745092868804932,0.651908278465271
5,1608737230322715413,1,6,0,1.0,0.21991732264114106,0.9619970241335952,0.9425647258758544,-0.00040026183705776935,-0.0009904741309583187,0.976979199046652,0.9555004835128784,0.67795729637146,0.6601126194000244
6,1608737230530150710,1,7,0,1.0,0.23003925677817985,0.9655316109651204,0.9514354467391968,-0.0001179112441604957,-3.141234265058301e-05,0.9805900461140944,0.9653943181037904,0.6795868873596191,0.6679624915122986
7,1608737230741063106,1,8,0,1.0,0.2289565235638386,0.9726408679363336,0.9618517160415648,-0.023282812908291817,-0.0009683078969828783,0.9878185863756208,0.9768454432487488,0.6753027439117432,0.6751800179481506
8,1608737230879203278,1,9,0,1.0,0.2315280751590305,0.9307591067211816,0.9575931429862976,-0.0007737486739642918,-0.000983905978500843,0.9507716787415617,0.9736236929893494,0.6380295753479004,0.6690771579742432
9,1608737231090175386,1,10,0,1.0,0.2095513289758976,0.972489877243122,0.9606837034225464,-0.0021873617079108953,-0.002874538768082857,0.997400049414011,0.9787119030952454,0.6806565523147583,0.6703065633773804
10,1608737231300138590,1,11,0,1.0,0.232106645740474,0.9835154267906346,0.9649873971939088,-0.07105759531259538,-0.00565541908144951,1.0033873846243853,0.9839935302734376,0.6820722818374634,0.671129584312439
11,1608737231509326013,1,12,0,1.0,0.24562589889864705,0.9831317185302022,0.9685074090957642,-0.023411236703395844,-0.006577458698302507,1.0028939486163646,0.9884543418884276,0.6776242852210999,0.670737087726593
12,1608737231733424786,1,13,0,1.0,0.2375290161540621,0.9653787238687584,0.9670549631118774,-0.022194765508174896,-0.006573005579411984,0.9898729089563728,0.9888651967048644,0.662314772605896,0.6681395173072815
13,1608737231873288600,1,14,0,1.0,0.2216341022744989,0.9814189146629654,0.9771868586540222,-0.03509708121418953,-0.007478761952370404,1.0105274624461174,1.0008163452148438,0.6761506199836731,0.675763726234436
14,1608737232086554739,1,15,0,1.0,0.2206379335185359,0.9910179110513636,0.9808924794197084,-0.002151956083253026,-0.0074463021010160455,1.0153262084007943,1.0044015645980835,0.6776668429374695,0.6751657724380493
15,1608737232298037388,1,16,0,1.0,0.2244147032088504,1.000574261455614,0.9843042492866516,-0.04594017192721367,-0.0064609674736857406,1.0199884325377435,1.0077219009399414,0.6727145910263062,0.6732942461967468
16,1608737232510428163,1,17,0,1.0,0.2305079174950373,1.0147449301607978,0.9906269311904908,-0.06816878169775009,-0.008266153745353222,1.0342709524642542,1.013997197151184,0.6749621629714966,0.6727617979049683
17,1608737232716429220,1,18,0,0.96,0.2299386936206821,1.028901753464494,1.0033315420150757,-0.07142280042171477,-0.01013978011906147,1.058046918243258,1.0276319980621338,0.6867560148239136,0.6776500344276428
18,1608737232997988134,1,19,0,0.88,0.2460598364382503,1.0571972536109402,1.0184872150421145,-0.1037479117512703,-0.01435878127813339,1.086310578767327,1.0427886247634888,0.697456955909729,0.681911289691925
