,Image,Frame,Class,Presence,TorsoBoundingBoxRatio,FrHeadGroundDistanceame,BufferedHeadGroundDistance,HeadVelocity,BufferedHeadVelocity,TorsoHeight,BufferedTorsoHeight,Centroid,BufferedCentroid
0,1608210730959169666,1,0,1.0,0.25478317333356154,0.9528233495162752,0.3739333748817444,-0.5431210398674011,-0.13031291961669922,0.9796660960141628,0.6552027463912964,0.6607457995414734,0.5358562469482422
1,1608210732199985958,2,0,1.0,0.25484485029756354,0.9566372914315984,0.5122870802879333,-1.658122073422419e-06,-0.10515350848436356,0.9835992584234604,0.7391616702079773,0.6629159450531006,0.5642452239990234
2,1608210732406395546,3,0,1.0,0.2575529814708244,0.9609495987367158,0.6549322009086609,-3.831353751593269e-05,-0.10944262892007828,0.9880279552281942,0.8039420247077942,0.6650000810623169,0.5889297723770142
3,1608210732547150860,4,0,1.0,0.25756392990623045,0.9654408070007866,0.8203860521316528,-3.0173823688528497e-05,-0.16975197196006775,0.9926400237136078,0.9200977087020874,0.6676595211029053,0.636900782585144
4,1608210732681869256,5,0,1.0,0.2575800870544778,0.9683091410072358,0.9608319997787476,2.9984169032104546e-06,-0.16771741211414334,0.99558935823104,0.9879045486450196,0.6696425080299377,0.6651927828788757
5,1608210732815622775,6,0,1.0,0.25760376492861936,0.9699489685862964,0.9642571806907654,0.00010670873598428443,-1.08231938611425e-06,0.9972787022641753,0.9914270639419556,0.6703272461891174,0.6671090722084045
6,1608210732951246724,7,0,1.0,0.2575920805726151,0.9685939331077422,0.966648519039154,7.58386158850044e-05,1.7046992070390846e-05,0.9958911867014524,0.9938853979110718,0.6693943738937378,0.668404757976532
7,1608210733158321586,8,0,1.0,0.2617477474316773,0.9581849926514814,0.9660955667495728,0.0005850823945365846,0.0005260227480903269,0.9853080421514824,0.9933414459228516,0.6636409759521484,0.6681329607963562
8,1608210733296296751,9,0,1.0,0.26444582925058435,0.9543512883971466,0.9638776779174804,0.000109733417048119,0.0005301562487147748,0.9813678483039744,0.9910870194435121,0.6614397168159485,0.666888952255249
9,1608210733437990952,10,0,1.0,0.2644282309187476,0.9514853409411136,0.9605129361152648,5.301068449625746e-05,0.0005308312247507273,0.9784209956044704,0.9876533746719359,0.6594597101211548,0.6648524403572083
10,1608210733578570860,11,0,1.0,0.2644708128189212,0.9461669119670958,0.9557564854621888,7.161402754718438e-05,0.0005292833666317165,0.9729514599597386,0.9827879071235656,0.6557773351669312,0.6619424819946289
11,1608210733717981297,12,0,1.0,0.2679400833775661,0.9431839061853632,0.9506744742393494,0.0003047316859010607,0.0005352483130991459,0.9672823971654166,0.9770660996437072,0.6528576612472534,0.6586350798606873
12,1608210730959169666,1,0,1.0,0.25478317333356154,0.9387870609063598,0.3694557249546051,-0.5351201891899109,-0.12795774638652802,0.965234379923258,0.6480819582939148,0.6510121822357178,0.5302113890647888
13,1608210732199985958,2,0,1.0,0.25484485029756354,0.9399935845273458,0.5048202276229858,-1.6292738109768836e-06,-0.1035616099834442,0.9664864635166872,0.7293411493301392,0.6513824462890625,0.5569615364074707
14,1608210732406395546,3,0,1.0,0.2575529814708244,0.9418265948792302,0.6440423727035522,-3.755109355552122e-05,-0.10781963914632796,0.9683660890658364,0.7912655472755432,0.6517665386199951,0.5798771977424622
15,1608210732547150860,4,0,1.0,0.25756392990623045,0.9437526547720472,0.8054354786872864,-2.949598274426535e-05,-0.16725660860538485,0.9703408544776188,0.9037870168685912,0.6526609063148499,0.6257060766220093
16,1608210732681869256,5,0,1.0,0.2575800870544778,0.946291991847905,0.9421303272247314,2.9302398161235037e-06,-0.16524671018123627,0.9729519189326626,0.9686759710311892,0.6544163227081299,0.6522477269172668
17,1608210732815622775,6,0,1.0,0.25760376492861936,0.9493524445061476,0.9442434310913086,0.00010444281360832973,-1.0660266980266895e-06,0.9761018409332726,0.9708494544029236,0.6560930609703064,0.6532638669013977
18,1608210732951246724,7,0,1.0,0.2575920805726151,0.9528128306628322,0.9468072652816772,7.460299821104853e-05,1.6744759705034085e-05,0.9796653356981398,0.9734851717948914,0.6584880948066711,0.6546849608421326
19,1608210733158321586,8,0,1.0,0.2617477474316773,0.9513928013609744,0.9487205743789672,0.0005809349822811782,0.0005222468753345312,0.9783235863796916,0.9754766821861268,0.6589366793632507,0.6561190485954285
20,1608210733296296751,9,0,1.0,0.26444582925058435,0.9557199617504352,0.9511139988899232,0.00010989078873535618,0.0005263637285679579,0.98277526718639,0.9779635667800904,0.6623883247375488,0.6580644845962524
21,1608210733437990952,10,0,1.0,0.2644282309187476,0.9602058651312044,0.9538967609405518,5.349653656594455e-05,0.0005270593683235346,0.9873883896284521,0.9808509349822998,0.665503740310669,0.6602819561958313
22,1608210733578570860,11,0,1.0,0.2644708128189212,0.9630989644358612,0.9566460847854614,7.289559289347379e-05,0.0005256120930425823,0.990362833113076,0.983703076839447,0.6675127148628235,0.6625658869743347
23,1608210733717981297,12,0,1.0,0.2679400833775661,0.9647979910449812,0.9590431451797484,0.0003117149462923408,0.0005318053881637752,0.9894487251513392,0.9856597781181335,0.6678186058998108,0.6644319891929626
24,1608210733927141936,13,0,1.0,0.26596469933604705,0.9608387836353278,0.9609323143959044,0.012992469593882559,0.003634086344391108,0.9854349472920452,0.9870820045471193,0.6660639643669128,0.6658574938774109
25,1608210734206701997,14,0,1.0,0.2639124625518597,0.9531659430713516,0.9604215025901794,0.0005929064354859293,0.0010548840509727595,0.9776213125941268,0.9860512018203736,0.6639609932899475,0.6661719679832458
